"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "CSS", "comment", "blank", "total"
"a:\Desktop\Coding\Visualizer\threeJS\README.md", "Markdown", 0, 0, 0, 208, 0, 0, 58, 266
"a:\Desktop\Coding\Visualizer\threeJS\REFACTOR_SUMMARY.md", "Markdown", 0, 0, 0, 119, 0, 0, 35, 154
"a:\Desktop\Coding\Visualizer\threeJS\docs\00_START_HERE.md", "Markdown", 0, 0, 0, 125, 0, 0, 50, 175
"a:\Desktop\Coding\Visualizer\threeJS\docs\COMMIT_MESSAGE.md", "Markdown", 0, 0, 0, 149, 0, 0, 27, 176
"a:\Desktop\Coding\Visualizer\threeJS\docs\CONFIGURATION.md", "Markdown", 0, 0, 0, 150, 0, 0, 41, 191
"a:\Desktop\Coding\Visualizer\threeJS\docs\FINAL_STRUCTURE.md", "Markdown", 0, 0, 0, 194, 0, 0, 46, 240
"a:\Desktop\Coding\Visualizer\threeJS\docs\FINAL_SUMMARY.md", "Markdown", 0, 0, 0, 209, 0, 0, 57, 266
"a:\Desktop\Coding\Visualizer\threeJS\docs\HTML_UPDATE_NEEDED.md", "Markdown", 0, 0, 0, 60, 0, 0, 12, 72
"a:\Desktop\Coding\Visualizer\threeJS\docs\LATEST_UPDATES.md", "Markdown", 0, 0, 0, 163, 0, 0, 46, 209
"a:\Desktop\Coding\Visualizer\threeJS\docs\LAZY_DEVELOPER_GUIDE.md", "Markdown", 0, 0, 0, 175, 0, 0, 43, 218
"a:\Desktop\Coding\Visualizer\threeJS\docs\PATCH_NOTES_DEV.md", "Markdown", 0, 0, 0, 158, 0, 0, 40, 198
"a:\Desktop\Coding\Visualizer\threeJS\docs\PATCH_NOTES_USER.md", "Markdown", 0, 0, 0, 96, 0, 0, 27, 123
"a:\Desktop\Coding\Visualizer\threeJS\docs\PROJECT_OVERVIEW.md", "Markdown", 0, 0, 0, 216, 0, 0, 50, 266
"a:\Desktop\Coding\Visualizer\threeJS\docs\STRUCTURE_GUIDE.md", "Markdown", 0, 0, 0, 150, 0, 0, 31, 181
"a:\Desktop\Coding\Visualizer\threeJS\docs\UI_ARCHITECTURE.md", "Markdown", 0, 0, 0, 178, 0, 0, 43, 221
"a:\Desktop\Coding\Visualizer\threeJS\docs\UI_CONTROLLER_UPDATES.md", "Markdown", 0, 0, 0, 58, 0, 0, 20, 78
"a:\Desktop\Coding\Visualizer\threeJS\docs\WHAT_WE_BUILT.md", "Markdown", 0, 0, 0, 159, 0, 0, 43, 202
"a:\Desktop\Coding\Visualizer\threeJS\effects\Effect.js", "JavaScript", 0, 54, 0, 0, 0, 3, 12, 69
"a:\Desktop\Coding\Visualizer\threeJS\effects\EffectsDefaults.js", "JavaScript", 0, 61, 0, 0, 0, 15, 8, 84
"a:\Desktop\Coding\Visualizer\threeJS\effects\EffectsManager.js", "JavaScript", 0, 130, 0, 0, 0, 28, 36, 194
"a:\Desktop\Coding\Visualizer\threeJS\effects\clickEffects\ClickEffect.js", "JavaScript", 0, 12, 0, 0, 0, 0, 5, 17
"a:\Desktop\Coding\Visualizer\threeJS\effects\clickEffects\ClickSnake.js", "JavaScript", 0, 102, 0, 0, 0, 14, 26, 142
"a:\Desktop\Coding\Visualizer\threeJS\effects\idleEffects\CameraOrbit.js", "JavaScript", 0, 31, 0, 0, 0, 11, 13, 55
"a:\Desktop\Coding\Visualizer\threeJS\effects\idleEffects\IdleEffect.js", "JavaScript", 0, 9, 0, 0, 0, 0, 5, 14
"a:\Desktop\Coding\Visualizer\threeJS\effects\idleEffects\RandomCubes.js", "JavaScript", 0, 21, 0, 0, 0, 2, 13, 36
"a:\Desktop\Coding\Visualizer\threeJS\effects\idleEffects\SimulatedDrag.js", "JavaScript", 0, 110, 0, 0, 0, 26, 32, 168
"a:\Desktop\Coding\Visualizer\threeJS\index.html", "HTML", 0, 0, 102, 0, 0, 14, 20, 136
"a:\Desktop\Coding\Visualizer\threeJS\main.js", "JavaScript", 0, 46, 0, 0, 0, 2, 16, 64
"a:\Desktop\Coding\Visualizer\threeJS\package-lock.json", "JSON", 1007, 0, 0, 0, 0, 0, 1, 1008
"a:\Desktop\Coding\Visualizer\threeJS\package.json", "JSON", 16, 0, 0, 0, 0, 0, 1, 17
"a:\Desktop\Coding\Visualizer\threeJS\ui\README.md", "Markdown", 0, 0, 0, 208, 0, 0, 58, 266
"a:\Desktop\Coding\Visualizer\threeJS\ui\components\settings\effects\click\templates\click-effects.html", "HTML", 0, 0, 9, 0, 0, 1, 2, 12
"a:\Desktop\Coding\Visualizer\threeJS\ui\components\settings\effects\drag\templates\drag-effects.html", "HTML", 0, 0, 82, 0, 0, 1, 14, 97
"a:\Desktop\Coding\Visualizer\threeJS\ui\components\settings\effects\global\templates\global-settings.html", "HTML", 0, 0, 36, 0, 0, 1, 7, 44
"a:\Desktop\Coding\Visualizer\threeJS\ui\components\settings\effects\idle\templates\idle-effects.html", "HTML", 0, 0, 90, 0, 0, 3, 14, 107
"a:\Desktop\Coding\Visualizer\threeJS\ui\components\settings\grid\templates\grid-menu.html", "HTML", 0, 0, 29, 0, 0, 5, 6, 40
"a:\Desktop\Coding\Visualizer\threeJS\ui\components\settings\outline\styles\outline-styles.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"a:\Desktop\Coding\Visualizer\threeJS\ui\components\settings\outline\templates\outline-header.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"a:\Desktop\Coding\Visualizer\threeJS\ui\components\settings\outline\templates\outline-item.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"a:\Desktop\Coding\Visualizer\threeJS\ui\components\settings\outline\templates\outline.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"a:\Desktop\Coding\Visualizer\threeJS\ui\components\settings\settings-manager.js", "JavaScript", 0, 130, 0, 0, 0, 14, 26, 170
"a:\Desktop\Coding\Visualizer\threeJS\ui\components\settings\settings-modal.js", "JavaScript", 0, 18, 0, 0, 0, 0, 12, 30
"a:\Desktop\Coding\Visualizer\threeJS\ui\components\ui-card.js", "JavaScript", 0, 87, 0, 0, 0, 9, 10, 106
"a:\Desktop\Coding\Visualizer\threeJS\ui\event-handlers.js", "JavaScript", 0, 175, 0, 0, 0, 4, 47, 226
"a:\Desktop\Coding\Visualizer\threeJS\ui\gradient-manager.js", "JavaScript", 0, 100, 0, 0, 0, 12, 22, 134
"a:\Desktop\Coding\Visualizer\threeJS\ui\modal-manager.js", "JavaScript", 0, 131, 0, 0, 0, 15, 25, 171
"a:\Desktop\Coding\Visualizer\threeJS\ui\slider-utils.js", "JavaScript", 0, 52, 0, 0, 0, 14, 12, 78
"a:\Desktop\Coding\Visualizer\threeJS\ui\ui-constants.js", "JavaScript", 0, 118, 0, 0, 0, 11, 8, 137
"a:\Desktop\Coding\Visualizer\threeJS\ui\ui-controller.js", "JavaScript", 0, 22, 0, 0, 0, 12, 17, 51
"a:\Desktop\Coding\Visualizer\threeJS\ui\ui-defaults.js", "JavaScript", 0, 9, 0, 0, 0, 11, 5, 25
"a:\Desktop\Coding\Visualizer\threeJS\ui\ui-helpers.js", "JavaScript", 0, 45, 0, 0, 0, 4, 11, 60
"a:\Desktop\Coding\Visualizer\threeJS\ui\ui-init.js", "JavaScript", 0, 128, 0, 0, 0, 14, 41, 183
"a:\Desktop\Coding\Visualizer\threeJS\visualizer.html", "HTML", 0, 0, 78, 0, 0, 2, 18, 98
"a:\Desktop\Coding\Visualizer\threeJS\vite.config.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 15
"Total", "-", 1023, 1603, 426, 2775, 0, 248, 1219, 7294